ingredient,recipe_name,recipe_link,required_ingredients
rice & egg,Fried Rice,https://www.allrecipes.com/recipe/79543/fried-rice-restaurant-style/,"rice, egg"
banana & oats,Banana Oatmeal Cookies,https://www.allrecipes.com/recipe/10813/beths-spicy-oatmeal-raisin-cookies/,"banana, oats"
avocado & bread,Avocado Toast,https://www.allrecipes.com/recipe/240708/avocado-toast/,"avocado, bread"
potato & onion,Potato Hash,https://www.allrecipes.com/recipe/220520/garlic-baked-potato-wedges/,"potato, onion"
chicken & lemon,Lemon Chicken,https://www.allrecipes.com/recipe/8887/lemon-chicken-piccata/,"chicken, lemon"
flour & egg & milk & butter,Pancakes,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/,"flour, egg, milk, butter"
flour & sugar & butter & cinnamon,Snickerdoodle Cookies,https://www.allrecipes.com/recipe/10687/mrs-siggs-snickerdoodles/,"flour, sugar, butter, cinnamon"
onion & tomato & garlic & olive oil,Tomato Pasta Sauce,https://www.allrecipes.com/recipe/158140/spaghetti-sauce-with-fresh-tomatoes/,"onion, tomato, garlic, olive oil"
tofu & soy sauce & ginger & garlic,Tofu Stir Fry,https://www.allrecipes.com/recipe/229960/tofu-stir-fry-with-vegetables/,"tofu, soy sauce, ginger, garlic"
banana & milk & honey,Banana Smoothie,https://www.allrecipes.com/recipe/215093/banana-smoothie-i/,"banana, milk, honey"
chicken & rice & soy sauce & egg,Chicken Fried Rice,https://www.allrecipes.com/recipe/79543/fried-rice-restaurant-style/,"chicken, rice, soy sauce, egg"
cheese & pasta & milk & butter,Mac and Cheese,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/,"cheese, pasta, milk, butter"
bread & cheese & butter,Grilled Cheese Sandwich,https://www.allrecipes.com/recipe/23891/grilled-cheese-sandwich/,"bread, cheese, butter"
potato & onion & pepper,Pan-Fried Potatoes,https://www.allrecipes.com/recipe/220520/garlic-baked-potato-wedges/,"potato, onion, pepper"
flour & sugar & butter & cinnamon & apple,Apple Pie,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,"flour, sugar, butter, cinnamon, apple"
egg & milk & cheese & spinach,Spinach and Cheese Omelette,https://www.allrecipes.com/recipe/222618/fresh-spinach-omelet/,"egg, milk, cheese, spinach"
yogurt & banana & blueberry & honey,Berry Banana Yogurt Parfait,https://www.allrecipes.com/recipe/244251/overnight-oats-blueberry-and-banana/,"yogurt, banana, blueberry, honey"
carrot & peas & green beans & soy sauce,Vegetable Stir Fry,https://www.allrecipes.com/recipe/229960/tofu-stir-fry-with-vegetables/,"carrot, peas, green beans, soy sauce"
pasta & tomato & basil & olive oil,Tomato Basil Pasta,https://www.allrecipes.com/recipe/23431/to-die-for-fettuccine-alfredo/,"pasta, tomato, basil, olive oil"
broccoli & carrot & onion & garlic,Garlic Roasted Vegetables,https://www.allrecipes.com/recipe/229156/easy-steamed-broccoli/,"broccoli, carrot, onion, garlic"
beef & onion & garlic & pepper,Beef Stir Fry,https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/,"beef, onion, garlic, pepper"
oats & peanut butter & honey,No-Bake Energy Bites,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/,"oats, peanut butter, honey"
egg & cheese & bread,Cheesy Egg Sandwich,https://www.allrecipes.com/recipe/254758/egg-sandwich/,"egg, cheese, bread"
zucchini & garlic & olive oil,Sautéed Zucchini,https://www.allrecipes.com/recipe/222608/sauteed-zucchini/,"zucchini, garlic, olive oil"
mushroom & onion & garlic & butter,Garlic Butter Mushrooms,https://www.allrecipes.com/recipe/222608/sauteed-mushrooms/,"mushroom, onion, garlic, butter"
lentils & carrot & onion & garlic,Lentil Soup,https://www.allrecipes.com/recipe/13003/lentil-soup/,"lentils, carrot, onion, garlic"
coconut & almond & honey & oats,Coconut Almond Granola,https://www.allrecipes.com/recipe/232951/homemade-granola/,"coconut, almond, honey, oats"
apple & cinnamon & nutmeg & sugar,Baked Cinnamon Apples,https://www.allrecipes.com/recipe/229156/easy-baked-apples/,"apple, cinnamon, nutmeg, sugar"
cauliflower & olive oil & garlic & salt,Roasted Cauliflower,https://www.allrecipes.com/recipe/229156/roasted-cauliflower/,"cauliflower, olive oil, garlic, salt"
beans & onion & cumin & garlic,Refried Beans,https://www.allrecipes.com/recipe/229252/refried-beans-without-the-refry/,"beans, onion, cumin, garlic"
pork & soy sauce & vinegar & garlic,Pork Adobo,https://www.allrecipes.com/recipe/21353/filipino-adobo-pork-or-chicken/,"pork, soy sauce, vinegar, garlic"
peanut butter & banana & oats,Peanut Butter Banana Oat Bars,https://www.allrecipes.com/recipe/244251/peanut-butter-banana-oat-bars/,"peanut butter, banana, oats"
strawberry & blueberry & banana & yogurt,Berry Banana Smoothie,https://www.allrecipes.com/recipe/215093/banana-smoothie-i/,"strawberry, blueberry, banana, yogurt"
green beans & garlic & olive oil,Garlic Green Beans,https://www.allrecipes.com/recipe/229252/garlic-green-beans/,"green beans, garlic, olive oil"
